,[W],[Ta],[Tr],[R],total_count,sequence_type,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,smiles
33,6.0,6.0,4.0,4.0,20,random,0.0,2.0,0.0,2.0,4,2,0,1,0,2,0,2,0,2,[R][Tr][Ta][W][Tr][R][W][W][Ta][W][W][Ta][R][W][Ta][Ta][Tr][Ta][R][Tr]
34,6.0,6.0,4.0,4.0,20,random,0.0,2.0,0.0,2.0,4,2,0,1,0,1,0,2,0,2,[W][W][Ta][Tr][W][R][Tr][W][Ta][W][Tr][R][Ta][Tr][Ta][W][R][Ta][Ta][R]
35,8.0,6.0,4.0,4.0,22,random,0.0,3.0,2.0,2.5,4,3,0,1,1,2,0,3,2,3,[Ta][Tr][R][Tr][Ta][W][R][W][R][W][Tr][Tr][R][Ta][W][W][W][Ta][Ta][Ta][W][W]
36,8.0,6.0,4.0,4.0,22,random,0.0,3.0,2.0,3.0,4,3,0,1,1,1,0,3,2,3,[R][W][R][Ta][W][Tr][R][Tr][Tr][W][Ta][W][W][W][Ta][Ta][Ta][W][R][W][Tr][Ta]
37,8.0,6.0,4.0,4.0,22,random,2.0,2.0,0.0,2.0,4,2,1,1,0,2,2,2,0,2,[Ta][W][W][Tr][Ta][Ta][W][Ta][W][Ta][R][Tr][R][W][W][Tr][Ta][Tr][W][R][R][W]
38,8.0,6.0,4.0,4.0,22,random,0.0,3.0,0.0,4.0,4,4,0,1,0,1,0,3,0,4,[R][Ta][Tr][R][Tr][W][W][W][W][Tr][Ta][Ta][Ta][R][W][Ta][W][Ta][W][Tr][R][W]
39,8.0,6.0,4.0,4.0,22,random,3.0,2.5,2.0,2.5,4,3,1,2,2,2,3,3,2,3,[W][Ta][Ta][Ta][W][R][R][R][Tr][Tr][Ta][W][W][Tr][Tr][W][W][W][R][Ta][Ta][W]
40,10.0,6.0,4.0,4.0,24,random,2.0,2.0,0.0,2.0,4,2,1,1,0,4,2,2,0,2,[W][W][R][Ta][Tr][Ta][Ta][Tr][W][W][Ta][Tr][W][W][Tr][R][W][R][R][Ta][W][W][Ta][W]
41,10.0,6.0,4.0,4.0,24,random,0.0,4.0,2.0,2.5,4,4,0,1,2,2,0,4,2,3,[W][W][W][Ta][W][W][Ta][Ta][Ta][Ta][R][Ta][W][R][W][R][W][Tr][Tr][W][R][Tr][Tr][W]
42,10.0,6.0,4.0,4.0,24,random,2.0,2.0,2.0,3.5,4,5,1,2,1,2,2,2,2,5,[W][Tr][Tr][Ta][Ta][R][W][Ta][W][Tr][W][W][W][W][W][R][Ta][W][W][R][R][Ta][Ta][Tr]
43,10.0,6.0,4.0,4.0,24,random,2.0,2.0,2.0,3.0,4,4,1,1,1,2,2,2,2,4,[R][W][R][Ta][W][Ta][Ta][W][Tr][W][W][W][W][Ta][W][W][Tr][Ta][W][R][R][Ta][Tr][Tr]
44,10.0,6.0,4.0,4.0,24,random,0.0,3.0,0.0,2.5,4,3,0,1,0,2,0,3,0,3,[Ta][Ta][Ta][Tr][Ta][Tr][W][W][Ta][R][W][R][W][R][W][Tr][W][Tr][W][W][W][Ta][W][R]
45,12.0,6.0,4.0,4.0,26,random,0.0,2.0,2.0,2.25,4,3,0,1,1,4,0,2,2,3,[Tr][Tr][W][W][Ta][W][R][Ta][W][Ta][W][W][R][Tr][Ta][W][W][W][Ta][Ta][R][Tr][W][W][R][W]
46,12.0,6.0,4.0,4.0,26,random,0.0,2.0,0.0,3.0,4,5,0,1,0,3,0,2,0,5,[R][W][R][Tr][W][W][Ta][Tr][Ta][W][W][W][W][W][Tr][W][Ta][R][Ta][W][Ta][Ta][Tr][R][W][W]
47,12.0,6.0,4.0,4.0,26,random,2.0,3.0,0.0,2.75,4,4,1,1,0,4,2,3,0,4,[Tr][Ta][R][Tr][W][W][W][R][W][W][W][W][Ta][W][Tr][R][R][Ta][W][W][Ta][Ta][Ta][W][W][Tr]
48,12.0,6.0,4.0,4.0,26,random,0.0,2.0,0.0,2.6666666666666665,4,3,0,1,0,3,0,2,0,3,[Tr][W][Ta][W][Ta][Tr][Ta][W][Ta][W][W][W][R][W][R][W][W][W][R][Ta][Ta][Tr][R][Tr][W][W]
49,12.0,6.0,4.0,4.0,26,random,2.0,2.0,0.0,2.75,4,4,2,1,0,4,2,2,0,4,[Tr][W][W][Tr][W][Ta][R][R][Tr][W][W][Ta][W][W][W][W][Ta][Ta][W][W][W][Ta][R][R][Tr][Ta]
50,4.0,8.0,4.0,4.0,20,random,2.0,3.0,2.0,2.0,4,3,2,1,1,1,2,3,2,2,[W][Ta][W][Tr][W][W][Ta][Ta][Ta][Tr][Tr][Ta][R][R][Ta][R][R][Ta][Tr][Ta]
51,4.0,8.0,4.0,4.0,20,random,0.0,3.0,0.0,0.0,4,3,0,1,0,0,0,3,0,0,[W][Ta][Ta][Ta][Tr][W][Ta][R][Ta][Tr][Ta][R][Tr][R][W][R][Ta][Tr][Ta][W]
52,4.0,8.0,4.0,4.0,20,random,0.0,2.5,2.0,2.0,4,3,0,2,1,1,0,3,2,2,[Ta][R][Ta][Ta][Tr][Ta][W][W][R][Tr][Ta][W][Tr][Tr][W][R][Ta][Ta][Ta][R]
53,4.0,8.0,4.0,4.0,20,random,2.0,2.0,2.0,0.0,4,2,2,2,1,0,2,2,2,0,[W][Ta][Ta][W][Ta][W][Tr][Tr][Ta][Tr][Ta][R][R][Ta][Ta][R][R][W][Ta][Tr]
54,4.0,8.0,4.0,4.0,20,random,2.0,5.0,2.0,0.0,4,5,1,1,1,0,2,5,2,0,[W][Tr][Ta][R][R][Tr][Tr][R][Ta][Tr][W][Ta][W][Ta][Ta][Ta][Ta][Ta][W][R]
55,6.0,8.0,4.0,4.0,22,random,0.0,3.0,2.0,3.0,4,4,0,2,1,1,0,4,2,3,[W][Tr][Ta][Ta][Ta][Ta][R][W][W][W][Tr][Ta][R][W][Ta][W][R][Tr][Tr][R][Ta][Ta]
56,6.0,8.0,4.0,4.0,22,random,2.0,3.0,0.0,2.5,4,3,2,1,0,2,2,3,0,3,[Ta][Tr][W][R][R][Ta][Tr][Ta][W][W][W][Tr][Ta][R][R][Tr][Ta][Ta][Ta][W][W][Ta]
57,6.0,8.0,4.0,4.0,22,random,0.0,2.0,0.0,4.0,4,4,0,2,0,1,0,2,0,4,[W][W][W][W][Ta][Ta][Tr][R][Ta][Ta][Tr][W][Ta][Tr][Ta][R][W][Ta][R][Ta][R][Tr]
58,6.0,8.0,4.0,4.0,22,random,3.0,2.0,0.0,2.0,4,3,1,1,0,2,3,2,0,2,[Ta][Tr][Ta][Ta][Tr][Ta][W][Ta][W][W][Tr][Ta][R][Ta][W][W][Ta][Tr][W][R][R][R]
59,6.0,8.0,4.0,4.0,22,random,2.0,2.5,2.0,2.0,4,3,1,2,1,1,2,3,2,2,[Ta][Ta][Ta][W][R][R][Tr][Ta][W][W][Ta][R][W][R][Ta][W][Ta][Ta][Tr][W][Tr][Tr]
60,8.0,8.0,4.0,4.0,24,random,0.0,2.0,2.0,2.0,4,2,0,2,1,1,0,2,2,2,[Ta][Ta][R][Ta][Tr][W][Tr][W][Ta][W][W][Ta][R][W][R][Tr][Tr][Ta][Ta][W][R][W][Ta][W]
61,8.0,8.0,4.0,4.0,24,random,2.0,2.0,0.0,2.0,4,2,1,3,0,2,2,2,0,2,[W][Ta][R][Tr][Ta][Ta][W][W][Tr][R][W][Ta][Ta][Tr][W][W][Ta][Tr][Ta][Ta][W][R][R][W]
62,8.0,8.0,4.0,4.0,24,random,3.0,2.5,0.0,2.0,4,3,1,2,0,1,3,3,0,2,[Tr][W][Ta][Tr][W][W][R][W][Tr][R][R][R][Tr][W][Ta][W][Ta][Ta][Ta][W][Ta][Ta][W][Ta]
63,8.0,8.0,4.0,4.0,24,random,0.0,2.5,2.0,3.0,4,4,0,2,2,2,0,3,2,4,[Ta][R][Ta][Tr][Tr][Ta][Ta][W][R][Ta][Ta][Ta][Tr][Tr][Ta][W][R][W][W][R][W][W][W][W]
64,8.0,8.0,4.0,4.0,24,random,2.0,3.0,2.0,2.5,4,3,1,1,1,2,2,3,2,3,[R][W][R][R][Ta][Tr][Ta][W][Ta][W][W][Tr][Tr][Ta][Ta][Ta][W][R][Ta][Tr][Ta][W][W][W]
65,10.0,8.0,4.0,4.0,26,random,2.0,2.0,2.0,4.0,4,4,1,2,1,1,2,2,2,4,[W][Ta][Tr][W][R][R][Ta][R][Tr][Tr][W][Ta][Ta][W][Ta][W][Ta][Ta][W][Ta][Tr][W][W][W][W][R]
66,10.0,8.0,4.0,4.0,26,random,0.0,2.0,2.0,2.25,4,3,0,1,1,4,0,2,2,3,[Tr][Tr][W][W][Ta][R][Ta][Tr][W][W][Ta][W][Ta][W][W][W][R][W][W][R][Ta][Tr][Ta][Ta][R][Ta]
67,10.0,8.0,4.0,4.0,26,random,2.0,0.0,2.0,4.0,4,4,1,0,1,1,2,0,2,4,[Ta][R][R][Ta][W][Ta][Tr][W][Ta][Tr][Tr][W][Ta][R][W][Ta][W][W][W][W][R][Ta][W][Tr][W][Ta]
68,10.0,8.0,4.0,4.0,26,random,2.0,2.0,0.0,2.0,4,2,1,2,0,3,2,2,0,2,[Tr][Ta][Tr][Ta][R][R][W][Ta][W][W][Tr][W][W][Tr][W][Ta][Ta][W][W][Ta][W][R][W][Ta][Ta][R]
69,10.0,8.0,4.0,4.0,26,random,0.0,3.5,2.0,2.6666666666666665,4,4,0,2,1,3,0,4,2,3,[Tr][W][W][W][R][Ta][Ta][Ta][W][Tr][Tr][W][R][Tr][W][W][W][R][Ta][Ta][Ta][Ta][R][Ta][W][W]
70,12.0,8.0,4.0,4.0,28,random,0.0,2.0,2.0,2.75,4,4,0,3,1,4,0,2,2,4,[W][W][W][W][Ta][Ta][Tr][Tr][W][W][R][Ta][Ta][Tr][R][W][R][Ta][Ta][R][W][W][W][Ta][Tr][Ta][W][W]
71,12.0,8.0,4.0,4.0,28,random,0.0,2.0,2.0,3.5,4,4,0,2,1,2,0,2,2,4,[W][Tr][Ta][Ta][W][W][W][W][Ta][W][Ta][W][W][W][Tr][Tr][W][Ta][Ta][R][Ta][R][W][Tr][R][Ta][R][W]
72,12.0,8.0,4.0,4.0,28,random,2.0,2.0,2.0,3.0,4,5,1,1,1,3,2,2,2,5,[Ta][Ta][W][Tr][Ta][R][R][W][W][Tr][Tr][W][W][W][W][W][R][Ta][W][Ta][W][Ta][Tr][W][W][Ta][R][Ta]
73,12.0,8.0,4.0,4.0,28,random,0.0,2.0,0.0,2.0,4,2,0,1,0,2,0,2,0,2,[Tr][W][Ta][W][R][Ta][W][Tr][W][R][Ta][R][W][Ta][W][W][Ta][W][Ta][Ta][Tr][W][W][Ta][W][Tr][R][W]
74,12.0,8.0,4.0,4.0,28,random,2.0,2.0,2.0,2.0,4,2,1,2,1,4,2,2,2,2,[W][Tr][W][Ta][Ta][W][W][Ta][Ta][W][Tr][Tr][Ta][W][W][Ta][R][R][W][W][R][W][W][Ta][W][Ta][R][Tr]
75,4.0,10.0,4.0,4.0,22,random,0.0,2.3333333333333335,2.0,2.0,4,3,0,3,1,1,0,3,2,2,[R][Tr][Tr][Ta][Tr][Ta][Ta][R][Ta][Ta][Ta][W][W][Ta][W][R][Ta][Ta][W][R][Ta][Tr]
76,4.0,10.0,4.0,4.0,22,random,0.0,2.3333333333333335,2.0,0.0,4,3,0,3,2,0,0,3,2,0,[Tr][Tr][R][W][Ta][Ta][W][R][Ta][R][Ta][Ta][Ta][R][Tr][Tr][Ta][W][Ta][W][Ta][Ta]
77,4.0,10.0,4.0,4.0,22,random,0.0,2.0,0.0,2.0,4,2,0,3,0,1,0,2,0,2,[Ta][R][W][R][Ta][R][W][W][Tr][Ta][Ta][R][Ta][Ta][W][Ta][Tr][Ta][Tr][Ta][Ta][Tr]
78,4.0,10.0,4.0,4.0,22,random,2.0,2.5,2.0,0.0,4,3,1,2,1,0,2,3,2,0,[Ta][W][Tr][Ta][R][W][Ta][Tr][Ta][Ta][Ta][W][Ta][R][R][W][Tr][Tr][Ta][R][Ta][Ta]
79,4.0,10.0,4.0,4.0,22,random,2.0,2.0,2.0,0.0,4,2,1,4,1,0,2,2,2,0,[Tr][W][Ta][Ta][Tr][W][Ta][Ta][R][R][Ta][Ta][W][Ta][Tr][Tr][Ta][Ta][W][R][Ta][R]
80,6.0,10.0,4.0,4.0,24,random,0.0,2.0,2.0,2.0,4,2,0,2,1,2,0,2,2,2,[Ta][Tr][Tr][R][Ta][Ta][W][Ta][Ta][Tr][R][Tr][Ta][W][W][R][Ta][R][Ta][W][W][Ta][W][Ta]
81,6.0,10.0,4.0,4.0,24,random,0.0,2.6666666666666665,2.0,0.0,4,4,0,3,2,0,0,4,2,0,[Ta][Ta][Ta][Ta][W][Ta][Ta][R][W][Ta][Ta][R][Ta][Tr][Tr][W][R][W][R][W][Tr][Tr][Ta][W]
82,6.0,10.0,4.0,4.0,24,random,0.0,2.5,2.0,2.0,4,3,0,2,1,1,0,3,2,2,[Ta][Ta][Ta][R][Tr][Ta][R][Ta][Tr][Ta][Ta][W][Ta][W][W][R][W][Ta][W][R][W][Tr][Tr][Ta]
83,6.0,10.0,4.0,4.0,24,random,3.0,2.5,2.0,2.0,4,3,1,2,1,1,3,3,2,2,[Ta][R][R][R][Ta][W][W][Ta][W][Ta][Ta][Tr][R][Ta][W][Ta][W][Tr][W][Tr][Tr][Ta][Ta][Ta]
84,6.0,10.0,4.0,4.0,24,random,0.0,3.0,0.0,2.0,4,3,0,2,0,1,0,3,0,2,[Tr][Ta][W][R][Ta][R][W][W][Ta][W][R][Ta][Ta][Ta][W][Tr][Ta][Ta][Ta][R][W][Tr][Ta][Tr]
85,8.0,10.0,4.0,4.0,26,random,2.0,2.0,2.0,2.0,4,2,1,3,1,2,2,2,2,2,[W][Ta][W][R][W][Ta][Tr][Ta][Ta][W][W][Ta][W][W][R][R][Ta][Ta][Tr][Tr][W][Ta][Tr][Ta][Ta][R]
86,8.0,10.0,4.0,4.0,26,random,2.0,2.5,2.0,2.3333333333333335,4,3,1,2,1,3,2,3,2,3,[Ta][Ta][Ta][W][W][Ta][R][Ta][Tr][Ta][W][R][Ta][R][R][Ta][W][W][Tr][W][W][W][Ta][Ta][Tr][Tr]
87,8.0,10.0,4.0,4.0,26,random,0.0,2.5,2.0,2.0,4,3,0,2,1,1,0,3,2,2,[Ta][W][R][Ta][W][R][W][W][Ta][W][Tr][W][R][Ta][Ta][Tr][Tr][R][W][Ta][W][Ta][Tr][Ta][Ta][Ta]
88,8.0,10.0,4.0,4.0,26,random,0.0,2.5,0.0,3.0,4,3,0,2,0,1,0,3,0,3,[Tr][Ta][W][R][Ta][Tr][Ta][W][W][W][R][Ta][Ta][Tr][R][W][Ta][W][Ta][W][Tr][W][R][Ta][Ta][Ta]
89,8.0,10.0,4.0,4.0,26,random,0.0,2.5,2.0,2.0,4,3,0,2,1,2,0,3,2,2,[Ta][Ta][Tr][Ta][Tr][Ta][W][Ta][R][W][W][R][W][W][R][Ta][W][Ta][R][W][Tr][Tr][W][Ta][Ta][Ta]
90,10.0,10.0,4.0,4.0,28,random,2.0,3.0,0.0,2.6666666666666665,4,4,1,2,0,3,2,4,0,4,[R][Ta][R][R][Tr][Ta][Ta][W][W][W][W][Ta][Tr][Ta][W][W][R][W][Tr][W][Ta][Ta][Ta][Ta][Tr][Ta][W][W]
91,10.0,10.0,4.0,4.0,28,random,0.0,3.0,2.0,2.0,4,3,0,1,1,2,0,3,2,2,[W][Tr][W][Ta][Tr][W][W][Ta][W][Ta][W][Ta][W][R][Ta][R][Ta][W][W][Ta][Ta][Ta][R][Tr][Tr][R][W][Ta]
92,10.0,10.0,4.0,4.0,28,random,2.0,2.0,0.0,2.0,4,2,1,1,0,2,2,2,0,2,[Tr][Ta][W][Ta][R][Ta][W][W][Ta][W][W][Ta][R][Tr][W][Ta][Tr][Ta][W][Tr][W][Ta][Ta][W][R][R][W][Ta]
93,10.0,10.0,4.0,4.0,28,random,2.0,4.0,0.0,2.0,4,4,1,1,0,3,2,4,0,2,[Ta][Tr][W][Ta][R][Ta][W][Ta][R][R][W][Tr][R][Tr][W][W][Ta][Ta][Ta][Ta][W][Ta][W][W][Tr][Ta][W][W]
94,10.0,10.0,4.0,4.0,28,random,2.0,2.0,2.0,2.0,4,2,1,2,1,3,2,2,2,2,[Tr][W][Ta][Ta][W][Ta][W][W][Ta][Ta][W][Ta][R][Ta][R][R][Tr][Tr][W][W][Tr][Ta][W][Ta][R][Ta][W][W]
95,12.0,10.0,4.0,4.0,30,random,0.0,3.0,2.0,4.5,4,6,0,2,1,2,0,4,2,6,[R][Tr][Ta][W][Tr][Tr][W][Ta][W][W][W][Ta][R][Ta][Ta][Ta][Ta][Tr][Ta][R][W][W][W][W][W][W][Ta][Ta][W][R]
96,12.0,10.0,4.0,4.0,30,random,2.0,2.0,2.0,2.5,4,3,1,1,1,2,2,2,2,3,[W][Ta][W][Ta][W][Ta][Tr][Ta][W][W][Ta][Tr][W][R][W][W][W][Ta][R][W][R][R][W][Ta][Tr][Tr][Ta][W][Ta][Ta]
97,12.0,10.0,4.0,4.0,30,random,0.0,2.0,0.0,2.0,4,2,0,1,0,2,0,2,0,2,[Ta][W][Ta][Ta][R][Ta][W][Ta][W][W][R][W][R][W][Tr][Ta][W][Ta][W][Ta][Tr][R][Tr][Ta][W][Ta][W][Tr][W][W]
98,12.0,10.0,4.0,4.0,30,random,0.0,2.3333333333333335,0.0,3.0,4,3,0,3,0,2,0,3,0,3,[W][Ta][W][R][Ta][W][W][W][Tr][Ta][Ta][Tr][Ta][W][R][Ta][Ta][R][W][R][W][W][W][Tr][W][Ta][Ta][Ta][Tr][W]
99,12.0,10.0,4.0,4.0,30,random,0.0,2.0,2.0,4.0,4,6,0,2,1,2,0,2,2,6,[Ta][W][Ta][Ta][Tr][W][Ta][W][Tr][R][Ta][Ta][Tr][Tr][R][W][W][Ta][R][Ta][W][Ta][R][W][W][W][W][W][W][Ta]
100,4.0,12.0,4.0,4.0,24,random,0.0,2.2,0.0,0.0,4,3,0,5,0,0,0,3,0,0,[Ta][Ta][Tr][Ta][Ta][R][W][R][Ta][Ta][R][Tr][W][Ta][W][Tr][R][Ta][Ta][W][Tr][Ta][Ta][Ta]
101,4.0,12.0,4.0,4.0,24,random,2.0,3.3333333333333335,0.0,0.0,4,4,1,3,0,0,2,4,0,0,[W][R][Ta][Ta][Ta][Tr][W][Ta][R][R][Ta][Ta][Ta][Ta][W][Tr][R][W][Ta][Tr][Ta][Ta][Ta][Tr]
102,4.0,12.0,4.0,4.0,24,random,2.0,2.0,2.0,2.0,4,2,1,5,1,1,2,2,2,2,[Ta][Ta][R][Ta][Ta][Tr][Tr][Ta][Ta][W][W][Ta][Ta][R][R][Ta][Ta][R][W][Ta][Tr][Ta][W][Tr]
103,4.0,12.0,4.0,4.0,24,random,2.0,2.3333333333333335,0.0,3.0,4,3,1,3,0,1,2,3,0,3,[R][R][Ta][Tr][Ta][W][W][W][Tr][Ta][R][Ta][Tr][Ta][Ta][R][Ta][W][Ta][Ta][Tr][Ta][Ta][Ta]
104,4.0,12.0,4.0,4.0,24,random,0.0,3.3333333333333335,2.0,2.0,4,4,0,3,1,1,0,4,2,2,[R][Ta][Tr][Tr][R][Ta][Ta][Ta][W][Ta][Ta][Ta][Ta][R][W][W][Tr][Ta][R][Ta][Ta][Ta][W][Tr]
